input_store_id,1,2,3,4,5,6,7,8,9,10
256,17835,13,11496,5075,12021,14891,9407,11912,509,8975
257,201,2453,9543,2214,8139,1942,13899,5790,1212,10681
260,16369,418,13522,9556,1545,18432,962,7696,4706,11382
263,12174,4568,14399,3520,91,7409,11024,14162,13117,900
267,17662,6753,17484,4410,1510,2831,17547,11394,1636,12020
268,7225,10664,5731,6817,17962,17539,6800,5934,5248,18199
270,1707,18022,5075,2214,5940,7858,509,16724,5939,13178
271,16366,12020,8854,5306,10943,9951,2322,100,4257,8566
273,11957,10835,205,11011,2018,6315,6859,9408,16311,8664
274,14821,10107,10056,2209,4256,10973,8397,12169,5551,13671
275,3712,7823,582,337,813,7098,2042,1035,7276,15481
276,6511,2811,7829,2519,11080,17495,9649,17769,11217,1871
282,5692,9825,1608,14311,15195,13152,3559,9938,8832,12147
283,3587,365,5565,4706,18328,8375,6764,9556,11382,17588
285,6193,6002,9187,10652,1064,3177,2002,8746,821,4485
286,8242,7893,418,4217,233,6355,2050,84,11016,2492
287,9618,1407,3485,11646,2193,9061,1529,1863,8292,7459
288,5299,14042,10171,2495,4006,15965,1863,2892,218,1266
290,228,8679,1185,15902,9729,1667,529,7926,14385,4112
292,309,6327,12194,14138,15310,16749,3631,16103,14385,7926
294,612,10520,13512,10469,15704,5682,11966,430,15808,8352
297,10001,5335,6549,3906,18200,18174,2262,8774,1280,16383
298,16478,13862,11496,18255,509,864,16241,5417,10481,194
300,15377,13175,13978,3490,16663,16170,6985,12121,1006,4428
301,13252,3632,1233,7667,1509,7522,3075,1483,7328,12043
304,3906,8774,14544,13548,18198,5860,3764,643,14424,18449
305,9265,13413,10046,5114,16232,1419,929,8316,14821,11282
306,7249,13481,1046,1196,5790,12180,11144,4458,10681,2802
307,2726,10591,3602,10795,3319,11157,686,10824,2512,4846
308,36,6087,15604,1751,3255,1647,11245,13992,8726,698
309,292,553,14629,12194,11925,9556,1469,3631,7893,6327
310,6983,14463,14810,17417,17648,15889,10577,10119,13681,13271
312,1213,3797,9242,3691,5119,8562,15081,10176,12172,2522
316,3458,10472,9695,2704,300,9830,7321,4781,11740,10955
317,8026,15698,1833,1655,14100,3822,5243,5216,174,7765
319,7696,154,73,9556,418,13381,309,553,18432,139
322,10262,5790,7249,1046,1520,4690,306,2802,6853,1886
324,17484,6753,5884,3708,2831,1636,10304,7765,888,10733
326,3586,983,13863,4474,2076,7250,15699,214,4813,17569
